id	name	serijos_nr	photo	description	client_name_id
1	H1384	YJ13TIU1FS	baldai/H1384_40.png	<p>Authenticity and naturalness combine with new simplicity in Casella Oaks. The naturally elegant floret pattern in a soft colour play allows for many modern colour combinations. ST40 Feelwood Oakgrain traces this character with a synchronised matt-in-matt pore, creating the realistic character of an oiled veneer. H1384 White Casella Oak is the cool, light colourway in this decor series.</p>	4
2	H1367	WX88GYE8RG	baldai/H1367_40.png	<p>Authenticity and naturalness combine with new simplicity in Casella Oaks. The naturally elegant floret pattern in a soft colour play allows for many modern colour combinations. ST40 Feelwood Oakgrain traces this character with a synchronised matt-in-matt pore, creating the realistic character of an oiled veneer. H1367 Light Natural Casella Oak is the light, warm colourway in this decor series.</p>	4
3	H1385	WO15VDJ2HW	baldai/H1385_40.png	<p>Authenticity and naturalness combine with new simplicity in Casella Oaks. The naturally elegant floret pattern in a soft colour play allows for many modern colour combinations. ST40 Feelwood Oakgrain traces this character with a synchronised matt-in-matt pore, creating the realistic character of an oiled veneer. H1385 Natural Casella Oak is the warm, rustic colourway in this decor series</p>	4
4	H1386	RR94KUN6WB	baldai/H1386_40.png	<p>Authenticity and naturalness combine with new simplicity in Casella Oaks. The naturally elegant floret pattern in a soft colour play allows for many modern colour combinations. ST40 Feelwood Oakgrain traces this character with a synchronised matt-in-matt pore, creating the realistic character of an oiled veneer. H1386 Brown Casella Oak is a timeless, rich colourway in this decor series that is reminiscent of walnut.</p>	4
5	H1369	KK07KCG2KN	baldai/H1369_40.png	<p>Authenticity and naturalness combine with new simplicity in Casella Oaks. The naturally elegant floret pattern in a soft colour play allows for many modern colour combinations. ST40 Feelwood Oakgrain traces this character with a synchronised matt-in-matt pore, creating the realistic character of an oiled veneer. H1369 Marone Casella Oak is the elegantly dark colourway in this decor series.</p>	4
6	H1176	GS15MRO2GT	baldai/H1176_37.png	<p>H1176 White Halifax Oak shows that a striking oak with knots and cracks can have a light character. The varied colour tones between white, beige and grey allow multiple combinations with uni colours. The dark crack in the decor looks good in combination with black tones or "nearly black" decors. Its authentic character is popular in furniture and interior design. Thanks to the XL repeat less repetition of cracks are visible in the decor, it can also be used on large surfaces and is enhanced by ST37 Feelwood Rift.</p>	4
7	H1180	GX33GUB3PX	baldai/H1180_37.png	<p>H1180 Natural Halifax Oak fulfils the desire for nature and authenticity in the living space. It works well in combination with modern materials, such as metal, glass and stone. The dark crack in the decor image looks good in combination with black tones or "nearly black" decors. Its authentic character is popular in furniture and interior design. Thanks to the XL repeat, which means less repetition of cracks in the decor, it can also be used on large surfaces and is enhanced by ST37 Feelwood Rift. Colour coordinating laminate flooring is available for this decor.', 'H180 Natural Halifax Oak Horizontal is the same-colour transversal variant of H1180 Natural Halifax Oak. With its distinctive cracks and knots, it ensures a natural and authentic look in modern door design. It works very well in combinations with modern materials, such as metal, glass and stone. It can also be used on large surfaces thanks to the XL repeat, which means less repetition of cracks in the decor image. Colour coordinating laminate flooring is available for this decor.', 'H1180 Natural Halifax Oak fulfils the desire for nature and authenticity in the living space. It works well in combinations with modern materials, such as metal, glass and stone. The dark crack in the decor image looks good in combination with black tones or "nearly black" decors. Its authentic character is popular in furniture and interior design. It can also be used on large surfaces thanks to the XL repeat, which means less repetition of cracks in the decor. ST22 Deepskin Linear gives the decor a deep brushed feel. Matching laminate flooring is available for this decor.', 'End-grain edging provides a finish for decorative surfaces. EGGER Feelwood decors have a strikingly and genuine solid wood appearance with this edging. The Q1180 variant is colour-matched with the H1180 Natural Halifax Oak.</p>	4
8	H1181	FL17RVT8DP	baldai/H1181_37.png	<p>H1181 Tobacco Halifax Oak works in combination with white, light grey and beige colour tones. With its striking cracks and knots, this decor fulfils the desire for nature and authenticity in the living space. It works well in combination with modern materials, such as metal, glass and stone. The dark crack in the decor image looks good in combination with black tones or "nearly black" decors. Thanks to the XL repeat, which means less repetition of cracks in the decor, it can also be used on large surfaces and is enhanced by ST37 Feelwood Rift. Matching laminate flooring is available for this decor.</p>	4
9	H3176	RL45SXO8KU	baldai/H3176_37.png	<p>The distinctive oak decor H3176 Pewter Halifax Oak is suitable as a tabletop, worktop or accent in furniture with neutral uni colours. It has a handcrafted look due to pewter filling in the wooden cracks. In addition to uni decors, metallic decors are also suitable for combinations with this oak. Thanks to the XL repeat (reduced repetition of cracks in the decor) it can also be used on large surfaces and is enhanced perfectly by ST37 Feelwood Rift.', 'End-grain edging provides a realistic finish for authentic decors. Feelwood decors with a synchronised surface texture appear to be solid wood with this edging. The Q3176 variant is colour-coordinated with the decor H3176 Pewter Halifax Oak.</p>	4
10	H3180	IU77BMU6SX	baldai/H3180_TM37.png	<p>H3180 Brown Halifax Oak is reminiscent of colonial styles. Above all, the dark cracks characteristic of the Halifax Oak offer good combination possibilities with the design theme Black. Thanks to the XL repeat, i.e. reduced repetition of the cracks in the decor image, it can also be used on large surfaces. TM37 PerfectSense Feelwood Rift Matt perfects the natural character by combining noticeable cracks with a matt look and feel. The anti-fingerprint property additionally improves the usage properties, especially for such dark woodgrain decors, and thus enables many other possible applications in public interior design.', 'The dark brown colour of H3180 Brown Halifax Oak is reminiscent of colonial styles. The dark cracks characteristic of the Halifax Oak series offer good combinations with the design theme Black. Thanks to the XL repeat, i.e. reduced repetition of cracks in the decor image, it can also be used on large surfaces. As a laminate, this decor features TM12 PerfectSense Omnipore Matt. This natural, matt wood pore look with a velvety-matt feel offers anti-fingerprint properties which improves the usage properties and application possibilities of dark woodgrain decors in public interior design.</p>	4
