id	e_color	e_color_name	e_photo
1	Q1344	Cognac Brown Sherman Oak	edge_color/Q1344.png
2	Q3176	Pewter Halifax Oak	edge_color/Q3176.png
3	Q3359	Light Natural Davenport Oak	edge_color/Q3359.png
4	F8930	Diamond Brushed Bronze	edge_color/F8930.png
5	F8931	Diamond Brushed Inox	edge_color/F8931.png
6	F8980	Linea Black	edge_color/F8980.png
7	H8906	Three Layer Thermo Brown	edge_color/H8906.png
8	H8911	Multiplex Oak	edge_color/H8911.png
9	H8912	Multiplex Walnut	edge_color/H8912.png
10	H8913	Three Layer Mountain Larch	edge_color/H8913.png
11	H8955	Multiplex Black	edge_color/H8955.png
12	U8920	Doppia Black-Alu	edge_color/U8920.png
13	U8921	Doppia Black Matt/Gloss	edge_color/U8921.png
14	U8922	Doppia Black Gloss/Matt	edge_color/U8922.png
15	W8904	Doppia Alpine White-Alu	edge_color/W8904.png
16	H1384	White Casella Oak	decors/H1384.png
17	H1367	Light Natural Casella Oak	decors/H1367.png
18	H1385	Natural Casella Oak	decors/H1385.png
19	H1386	Brown Casella Oak	decors/H1386.png
20	H1369	Marone Casella Oak	decors/H1369.png
21	H1176	White Halifax Oak	decors/H1176.png
22	H1180	Natural Halifax Oak	decors/H1180.png
23	H1181	Tobacco Halifax Oak	decors/H1181.png
24	H3176	Pewter Halifax Oak	decors/H3176.png
25	H3180	Brown Halifax Oak	decors/H3180.png
26	H3406	Anthracite Mountain Larch	decors/H3406.png
27	H3408	Thermo Brown Mountain Larch	decors/H3408.png
28	H3409	Natural Mountain Larch	decors/H3409.png
29	H1250	Navarra Ash	decors/H1250.png
30	H1377	Sand Orleans Oak	decors/H1377.png
31	H1379	Brown Orleans Oak	decors/H1379.png
32	H3154	Dark Brown Charleston Oak	decors/H3154.png
33	H1142	Brown Sacramento Oak	decors/H1142.png
34	H1143	Grey Sacramento Oak	decors/H1143.png
35	H3359	Light Natural Davenport Oak	decors/H3359.png
36	H1344	Cognac Brown Sherman Oak	decors/H1344.png
37	H1346	Anthracite Sherman Oak	decors/H1346.png
38	H3311	Bleached Cuneo Oak	decors/H3311.png
39	H3317	Brown Cuneo Oak	decors/H3317.png
40	H3309	Sand Gladstone Oak	decors/H3309.png
41	H3326	Grey-Beige Gladstone Oak	decors/H3326.png
42	H3325	Tobacco Gladstone Oak	decors/H3325.png
43	H3342	Sepia Gladstone Oak	decors/H3342.png
44	H3041	Natural Eucalyptus	decors/H3041.png
45	H1227	Brown Abano Ash	decors/H1227.png
46	H1228	Anthracite Abano Ash	decors/H1228.png
47	H1204	Light Natural Lugano Ash	decors/H1204.png
48	H180	Natural Halifax Oak Horizontal	decors/H180.png
49	H193	Oak Butcherblock	decors/H193.png
50	H194	Walnut Butcherblock	decors/H194.png
51	H305	Natural Tonsberg Oak	decors/H305.png
52	H307	Brown Warmia Walnut Horizontal	decors/H307.png
53	H309	Brown Tonsberg Oak	decors/H309.png
54	H357	Vicenza Oak Horizontal	decors/H357.png
55	H358	Grey Vicenza Oak Horizontal	decors/H358.png
56	H433	Polar Aland Pine Horizontal	decors/H433.png
57	H1113	Brown Kansas Oak	decors/H1113.png
58	H1133	Natural Hamilton Oak Horizontal	decors/H1133.png
59	H1145	Natural Bardolino Oak	decors/H1145.png
